"Year","Region_name","All_motor_vehicles",
"2000","Scotland","16781"
"2017","East of England","8329"
"2004","Scotland","23084"
"2011","Scotland","1456"
"2017","West Midlands","20433"
"2002","Wales","7434"
"2002","North West","5748"
"2019","South West","2562"
"2001","East of England","7481"
"2006","North West","11876"
"2009","London","74623"
"2012","London","14083"
"2008","London","5630"
"2009","London","10653"
"2019","London","4173"
"2018","Yorkshire and the Humber","403"
"2017","North East","9249"
"2001","Scotland","1862"
"2001","North West","7470"
"2006","East of England","23876"
"2011","London","41077"
"2007","London","32090"
"2000","North West","20749"
"2016","South East","47743"
"2012","East of England","40572"
"2020","North East","37166"
"2016","Scotland","3548"
"2010","South West","3131"
"2008","Scotland","4564"
"2020","Yorkshire and the Humber","53"
"2021","South East","28053"
"2002","Yorkshire and the Humber","8926"
"2018","South East","6296"
"2017","North West","93656"
"2007","North East","5145"
"2014","North West","162294"
"2012","North West","11805"
"2017","East of England","4343"
"2017","London","18348"
"2003","North West","8477"
"2020","South West","2714"
"2011","Yorkshire and the Humber","11777"
"2017","South West","6190"
"2010","South East","45859"
"2007","South East","10502"
"2010","Scotland","21334"
"2017","South East","100"
"2001","South East","17031"
"2004","North West","14588"
"2006","South East","23733"
"2002","East Midlands","21090"
"2002","Yorkshire and the Humber","85621"
"2009","East Midlands","63746"
"2004","London","85622"
"2018","South East","745"
"2005","North West","7492"
"2018","South East","12313"
"2021","South East","28903"
"2009","East of England","2167"
"2016","Wales","18405"
"2005","North East","17149"
"2012","Scotland","2000"
"2009","East of England","9234"
"2017","London","28702"
"2018","Scotland","3377"
"2020","North West","39745"
"2017","South West","11679"
"2003","South East","25029"
"2000","West Midlands","9433"
"2014","Wales","25334"
"2009","South East","14583"
"2002","Yorkshire and the Humber","25917"
"2000","South East","21160"
"2020","North East","11777"
"2005","South East","4113"
"2016","East of England","17448"
"2018","East Midlands","28199"
"2008","South West","39870"
"2004","North West","19789"
"2003","South West","17424"
"2012","London","34000"
"2001","South West","2683"
"2002","East of England","35788"
"2013","Yorkshire and the Humber","11336"
"2012","East Midlands","35787"
"2016","East of England","13523"
"2016","Scotland","8978"
"2006","Scotland","5899"
"2009","Yorkshire and the Humber","120987"
"2019","East Midlands","894"
"2012","Scotland","3114"
"2018","South West","7655"
"2008","London","29417"
"2006","North West","18025"
"2003","West Midlands","50231"
"2014","South West","15077"
"2019","North West","6745"
"2008","Wales","9473"
"2018","North West","13753"
"2015","North West","155382"
"2018","South West","12509"
"2017","East of England","43043"
"2015","North West","10486"
"2020","South West","1709"
"2020","North East","960"
"2013","Scotland","1691"
"2006","East Midlands","129845"
"2016","Yorkshire and the Humber","52"
"2011","South West","20223"
"2017","South West","20298"
"2013","East of England","15032"
"2005","East Midlands","21432"
"2002","North West","7989"
"2006","London","14609"
"2001","East of England","14447"
"2018","South West","47"
"2010","West Midlands","24885"
"2014","East Midlands","1637"
"2010","West Midlands","820"
"2019","Wales","50"
"2019","West Midlands","2780"
"2003","South East","4008"
"2000","London","18684"
"2012","Yorkshire and the Humber","48269"
"2018","West Midlands","9387"
"2004","North West","3117"
"2004","South West","733"
"2005","South West","20012"
"2019","East Midlands","11850"
"2012","West Midlands","65827"
"2009","North West","13573"
"2013","South West","945"
"2013","Scotland","17464"
"2012","North West","12431"
"2015","South East","25905"
"2017","South West","7091"
"2005","East Midlands","3573"
"2008","East of England","27182"
"2020","North West","9729"
"2004","East of England","4445"
"2020","South West","11239"
"2008","North West","3576"
"2012","North West","66150"
"2003","Yorkshire and the Humber","28101"
